timestamp1,timestamp2,difference
1678995622163344000,1678995622164559000,1215000
1678995622163347000,1678995622164561000,1214000
1678995622163348000,1678995622164562000,1214000
1678995622163349000,1678995622164563000,1214000
1678995622163350000,1678995622164564000,1214000
1678995622163351000,1678995622164565000,1214000
1678995622163352000,1678995622164565000,1213000
1678995622163353000,1678995622164566000,1213000
1678995622163354000,1678995622164567000,1213000
1678995622163354000,1678995622164568000,1214000
1678995622163355000,1678995622164569000,1214000
1678995622163356000,1678995622164570000,1214000
1678995622163357000,1678995622164570000,1213000
1678995622163358000,1678995622164571000,1213000
1678995622163359000,1678995622164572000,1213000
1678995622163360000,1678995622164573000,1213000
1678995622163361000,1678995622164574000,1213000
1678995622163361000,1678995622164575000,1214000
1678995622163362000,1678995622164575000,1213000
1678995622163363000,1678995622164576000,1213000
1678995622163364000,1678995622164577000,1213000
1678995622163365000,1678995622164578000,1213000
1678995622163365000,1678995622164579000,1214000
1678995622163366000,1678995622164580000,1214000
1678995622163370000,1678995622164581000,1211000
1678995622163371000,1678995622164581000,1210000
1678995622163371000,1678995622164582000,1211000
1678995622163372000,1678995622164583000,1211000
1678995622163373000,1678995622164584000,1211000
1678995622163374000,1678995622164585000,1211000
1678995622163375000,1678995622164585000,1210000
1678995622163376000,1678995622164586000,1210000
1678995622163382000,1678995622164587000,1205000
1678995622163383000,1678995622164588000,1205000
1678995622163384000,1678995622164589000,1205000
1678995622163385000,1678995622164590000,1205000
1678995622163386000,1678995622164591000,1205000
1678995622163387000,1678995622164592000,1205000
1678995622163387000,1678995622164592000,1205000
1678995622163388000,1678995622164593000,1205000
1678995622163389000,1678995622164594000,1205000
1678995622163390000,1678995622164595000,1205000
1678995622163391000,1678995622164596000,1205000
1678995622163392000,1678995622164597000,1205000
1678995622163393000,1678995622164597000,1204000
1678995622163393000,1678995622164598000,1205000
1678995622163394000,1678995622164599000,1205000
1678995622163395000,1678995622164600000,1205000
1678995622163396000,1678995622164601000,1205000
1678995622163397000,1678995622164602000,1205000
1678995622163398000,1678995622164602000,1204000
1678995622163398000,1678995622164603000,1205000
1678995622163399000,1678995622164604000,1205000
1678995622163400000,1678995622164605000,1205000
1678995622163401000,1678995622164606000,1205000
1678995622163402000,1678995622164607000,1205000
1678995622163403000,1678995622164608000,1205000
1678995622163404000,1678995622164608000,1204000
1678995622163405000,1678995622164609000,1204000
1678995622163405000,1678995622164610000,1205000
1678995622163406000,1678995622164611000,1205000
1678995622163407000,1678995622164612000,1205000
1678995622163408000,1678995622164612000,1204000
1678995622163409000,1678995622164613000,1204000
